AUM,Target Return,Target ES,Target Vol,x1,x2,x3,x4
35000000,0.098200128,0.186334727,0.090143697,0.031401902,0.20653471,0.381779055,0.380284333
35000000,0.098995185,0.190348821,0.092069859,0.007507212,0.22154497,0.379620778,0.39132704
35000000,0.100100218,0.193051044,0.093392908,0,0.207731256,0.394527985,0.397740759
40000000,0.048814228,0.004586773,0.002138737,0.997978697,0.002021303,0,0
40000000,0.049818129,0.021800386,0.010511725,0.913653444,0.086346556,0,0
40000000,0.054018056,0.022397901,0.010893679,0.899163876,0.010325828,0.090510297,0
40000000,0.054818858,0.025920003,0.012459445,0.909803525,0,0,0.090196475
40000000,0.058033282,0.033720731,0.016316111,0.85,0,0.075,0.075
40000000,0.059017754,0.037311086,0.018046854,0.834857285,0,0.077650153,0.087492562
40000000,0.060252562,0.041642544,0.020170179,0.811660223,1.61E-07,0.107893256,0.080446359
40000000,0.060866436,0.043927823,0.021251047,0.805076246,0,0.091242403,0.103681351
40000000,0.061834036,0.047236513,0.022874556,0.787390884,0,0.111791469,0.100817646
40000000,0.06281649,0.051629825,0.024980792,0.745030068,0.032528211,0.117731991,0.10470973
40000000,0.063993926,0.056188677,0.027233953,0.744640033,0,0.178622911,0.076737055
40000000,0.064872247,0.058124016,0.028156883,0.736561776,0,0.146204079,0.117234145
40000000,0.065919481,0.063002093,0.030537233,0.713061483,0,0.196360994,0.090577522
40000000,0.06684631,0.065174807,0.031571462,0.704709105,0,0.161050059,0.134240835
40000000,0.067922329,0.069488197,0.033672009,0.682935224,0,0.197393621,0.119671155
40000000,0.068903973,0.073140918,0.035367285,0.677635064,0,0.137285379,0.185079556
40000000,0.069839842,0.076188404,0.036863433,0.660744991,0,0.155781658,0.183473351
40000000,0.070814873,0.079665754,0.03859946,0.63642633,0.000298752,0.216524407,0.146750511
40000000,0.071848618,0.083184382,0.040300423,0.621469009,0,0.214838902,0.163692089
40000000,0.073064412,0.087514743,0.04237082,0.606160795,0,0.196386388,0.197452817
40000000,0.074074584,0.092491244,0.04480988,0.539189951,0.055932161,0.23408933,0.170788557
40000000,0.075209396,0.095495724,0.046244644,0.551236173,0.023200961,0.220493709,0.205069156
40000000,0.075816628,0.097435169,0.047184079,0.551870413,0.010012571,0.227667131,0.210449886
40000000,0.076877214,0.101349533,0.049098498,0.531074684,0.009271493,0.263125832,0.196527991
